,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Category
650,Muradi̇ye mah,41.0484504,28.9987081,5069b20ee4b029886611e4c6,'studiODA',41.048074,28.997794,87,Gym
701,Turkali̇ mah,41.0476515,29.00161829999999,506c0b4ce4b09eff15bd863d,Nuvola spor salonu,41.045439,29.003347,285,Gym
312,Di̇ki̇li̇tas mah,41.0557351,29.003801,507459b7fe7097adb9e0c1cf,Çilek Spor - Bayanlara Özel Spor Merkezi,41.052655496687656,29.006060331975892,391,Gym
320,Di̇ki̇li̇tas mah,41.0557351,29.003801,507584a7e4b09eeb0428604a,Nt sports organızasyon,41.056060256496956,28.998688203273417,430,Gym
420,Kultur mah,41.0732019,29.0329,5077e28be4b0df11c87f0823,namik ekin gym,41.071791425876754,29.028197328682996,424,Gym
679,Turkali̇ mah,41.0476515,29.00161829999999,507d9626e4b0ff7c67d968a0,Çeliktürk Spor Merkezi,41.0496976240381,29.002007694298893,230,Gym
422,Kultur mah,41.0732019,29.0329,50803e98e4b093287aa41207,Altindal Spor Merkezi,41.07196831567149,29.02805289106234,429,Gym / Fitness Center
428,Kultur mah,41.0732019,29.0329,508bd76de4b0988211a05c68,Private Training Studio,41.07553084462071,29.03477040934782,303,Gym / Fitness Center
353,Gayrettepe mah,41.0641962,29.0067111,50980060e4b0272e115cb81e,Turk Telekom Gymnasium,41.06636819653531,29.00572498452314,255,Gym
515,Ulus mah,41.0632296,29.0270806,50994a80e4b062b9e4472a0a,United Clup Zumba,41.06209893984892,29.023417826296384,332,Gym / Fitness Center
185,Kurucesme mah,41.0616299,29.0329,50acb6d9e4b0f9c3315f3fd5,ecentric body works,41.060344636405446,29.03659661632438,341,Gym
698,Turkali̇ mah,41.0476515,29.00161829999999,50ae3f6ce4b00b39bbfb52fe,Sporex Gym,41.0458093116675,29.00121761645486,207,Gym
627,Muradi̇ye mah,41.0484504,28.9987081,50b8ba7be4b0073faa8efd2b,Urban Health Pilates,41.050345189431766,28.993781530316014,464,Gym
328,Gayrettepe mah,41.0641962,29.0067111,50cc76dce4b0b0b97c7affd7,BJK Akatlar Spor Salonu,41.067232116721115,29.007299406051768,341,Gym / Fitness Center
425,Kultur mah,41.0732019,29.0329,50cc7f39e4b06fef2129961c,Solo Pilates Studio,41.075966084544675,29.03329362278549,309,Gym
478,Ni̇sbeti̇ye mah,41.0717724,29.021261,50d1a55fe4b0ef9beb063a77,"Pilates Studio Form, Ulus Etiler",41.07559195768989,29.024413283615118,500,Gym / Fitness Center
537,Levent mah,41.0818288,29.0183512,50d2e821e4b057df6643df2f,IBM Gym,41.08064564194295,29.011764284325125,568,Gym / Fitness Center
341,Gayrettepe mah,41.0641962,29.0067111,50db3a37e4b004dcfa6375ab,Selenium Panorama Gym And Sauna,41.06197305466088,29.009442184902497,337,Gym
570,Levent mah,41.0818288,29.0183512,50dd8156e4b0974a153efc69,Gürsel Spor,41.08418752428975,29.019479313503087,279,Gym
661,Muradi̇ye mah,41.0484504,28.9987081,50ddca30e4b0e421da8b5fcd,Işık okulları Aikido Dojo,41.04997744588759,28.993941888863485,434,Martial Arts Dojo
528,Konaklar mah,41.0934402,29.0139863,50dec826e4b05f3e832143a2,Mac Entertaıment Sports,41.09266862500489,29.019860097652515,500,Gym
465,Ni̇sbeti̇ye mah,41.0717724,29.021261,50ded9a9e4b0eb1fdec75bb9,Spora Club Kangoo Jump,41.0688,29.0183532,411,Gym
174,Arnavutkoy mah,41.0684875,29.0416286,50eadb3fe4b06ad5a4a4c691,benefit spor center,41.069843672821705,29.040761992073833,167,Gym
709,Turkali̇ mah,41.0476515,29.00161829999999,50f9a397e4b03963582e7848,Lifepoint Beden ve Bilinc Gelisim Merkezi,41.04804015885906,28.995959800889885,477,Yoga Studio
665,Muradi̇ye mah,41.0484504,28.9987081,50fecb06e4b0c9cf9f939c2c,work out,41.051972,28.998479,392,Gym
265,Balmumcu mah,41.0591046,29.0147137,5104027be4b06b57c6362139,Renaissance R Fitness& Spa,41.05926630032458,29.01036794493933,365,Gym / Fitness Center
483,Ni̇sbeti̇ye mah,41.0717724,29.021261,5106a10de4b0d770d7e3a165,Gym Surprise,41.0696157048414,29.0170922868704,424,Gym
558,Levent mah,41.0818288,29.0183512,511158d5e4b05285fa7c5c75,Do's Sport Center,41.080196,29.018113,182,Gym / Fitness Center
167,Akat mah,41.0856143,29.0256257,5113f48ce4b0ed2ee11b1c3b,Şişli Terakki Fitness,41.08190989262285,29.024023147564023,433,Gym
